title,rating,body
Simply superb,4,  Worth every paise...thanks to Amazan...MKNR..PKD
Very good product in 7500,5,"  I like this product , but add fingarprint option"
Budget phone,3,  Everything is fine but camera quality is too bad
Regarding Redmi 9A,1,  As the feature of the mobile not desirable to me
Processor is slow,5,  Phone is good. But processor is littile bit slow
Valu for many,5,  Nice i am fully certifiedAnd fast delivery
Good phone,4,"  Nice,I got redmi9a 5days ago.all performance ok."
Nice mobile in this price range,5,  Over all ok ok phone in this price range
what about phone,4,  the phone really good in just this price
Nic,5,  Nic
Will not purchase mi mobile,1,  Please don't by mi phone it's service is not good at all
Bad quality,1,  Very bad....after one month phone is not even working...
Smooth functioning,5,  Value for money at price and meet all my all essentials.
This product is epic,4,  TBH this product is just epic!!!!!!!Value of money
Mane 5000,3,  Battery live 2 dayCamera very badMobile nice
Amazing product,5,  Superb qualityGood display
Perfect in this price range,5,  Camera quality could be better
Good ones for the budget,4,  Good ones for the budget
Headphones not received,1,  Headphones not received.
Qualification bad,1,  China brand
Awesome,5,  Nice mobile and battery backupVerry injoying mobile
Helpful,5,  This mobile is a very good and its camera is also good
Nice phone 🥰,5,  Ok phone!
Very nice,5,  Very nice
Great deal,5,  Gud price
Not value for money,1,  Lag a lot
Very good,5,  Very good
Very good,5,  Very good
Ok,1,  Ok
Ok,5,  Ok
Ok,3,  Ok
I like it this mobile,5,  This mobile is very good camera is good photo s
Poor Sound,3,  Product is ok but sound quality & level is poor
Good product oveall,5,  Nice productNice cameraWorthy price
Sound is not good,4,  All is well in this phone but sound is not good
Lovely...,5,  Redami 9a - king of this budget segment mobile.
Do not buy this item.waste of money,1,  Sound quality very poor camera just ok not good
Mobile,4,  Super but fingerprint not in the mobile
Best buy,5,  Good mobile but finger print is Missing
Long battery life,5,  It's very hood smart phone in his prize
Low price with great deal,4,  Nice for low budget or for perents gift
Nice phone,5,  Nice for games like PUBG and free fire but zyro not supported
Excellent,5,  Decent camera good battery lifeBest budget phone.
I want to Return this product pls help me,3,  Item defective and doesn't workingDamaged product
Sometimes it's lagging overall it's good product,5,  Very good phone and useful it's worth it superb product
Nice product,4,  Good mobile for beginners and for normal day-to-day use
phn sahi h pr back cover nhi diya hrr mobile me milta h😒😒,4,  phn sahi h pr back cover nhi diya hrr mobile me milta h
Quality justified price,4,  It's a good product and perform according to the  price
slow phone,3,  network not working properlynetwork not supported
Worth it..!,5,  In this price range its worth it... everything included
Not satisfactory,1,  Phone got high hit at the time of charging and talking.
Goood,4,  Value for money.
Nice,5,  Osm good product
Verygood,4,  Very good mobile
Best phone and seller,5,  Best products and seller also i love amazon❤️❤️
☝️ Perfect 😍 mobile,4,  In that price mobile is best 🥳
useful product.,5,  we are satisfied. good product.
Nice product,5,  Very useful for any age group..
2g ram,3,  There is no finger print reader
Nice product,4,  nice product and So beautiful
Super,5,  Super and fast delivery
Music osm,5,  Awesome mobile thankyou
Excellent battery,5,  Excellent product
Good for basic need,4,  Nice one
awesom for 6799,5,  very nice and good product.... value for money
Budget phone,3,  Better for fresh and first users of android...
एक बेहतरीन मोबाइल हर दृस्टि से,4,  कम बजट में एक बेहतरीन फ़ोन है सभी चीजे अच्छी है
Awesome,3,  Good battery lifeRightNice
Super value....,5,  Nice product by xiomi.Look good.
Nice one,5,  Good product but delievery took 1 week
Display damage,1,  Didn't buy... Within one month display get disappeared
it's Amazing,4,  Its an amazing phone for this price.Highly Recommended
Don't buy it,1,  Unable to add finger print.. might be duplicate one 👎
This product is very good,4,"  Your browser does not support HTML5 video.


   Beautiful"
Perfromance,5,  It's really good mobile at this price.thank you amazon
Within few sec it's going auto on and off,1,  Within 15 sec its going to start and off automatically
Not completely worth,2,  It is missing few facilities comparing to other phones
Don't buy this phone,1,  Poor camera quality campare another redmi series phone
Nice phone thanks Amazon fast delivery,5,  Value for money
Good,5,  Good product 👍
Not as expected,2,  Not as expected
Value for money,4,  Value for money
Yes under 7000 best phone in India,5,  Under 7000 best phone in India
A good mobile at such a price,4,  You can buy it.
good,5,  nice
This phone is not bad,4,"  Battery is good , and fingerprint reader not available."
Charger is getting shocks,1,  Charger getting shocks
Amazing Redmi 9A mobile,4,  Amazing Redmi 9A mobile value for money battery life amazing
Good phone in low price,5,  Good phone in low price
Supar,5,  Supar
Superb,5,  Fantastic
Super,5,  Good 👌
Osm purchase,5,  Wow... Really a osm phone in this price range
According to price range good phone.,4,  Normal use for phone  call and entertainment.
Very very very very bad phone in the world,1,  It worst phone in redmi working slow very bad
Good,4,  Good. But it's charging takes too much timing
Satisfied,5,  Great product in great price loved it
Good phone,3,  Phone is good in this price range ...
I like colour blue,5,  Really nice phone. Video quality gud.
Good phone,5,  Good phone in this price 👍🏻👍🏻👍🏻
Awesome,5,  Performance is very impressive .good work.
Raju,4,  This phone battery super ..Camera averageDisplay nice
worse phone,1,"  dont go for it , it hangs alot and is very slow phone"
Better,4,  All is better but I don't recieved a soft case in box
Battery performance,4,  Better battery performance and camera quality is good
product are good,5,  camera quality some poorotherwise all over good
Redmi 9a review,5,  Every feature of this phone in term of price is best.
Very Good MI Products but delivery very poor services,5,  Very Good MI Products but delivery very poor services
Sound,1,  This mobile sound damage so i want return this mobile
Value fir money,5,  Nice mobile ..
Wow,5,  Nice mobile ☺️
Very good,5,  Very good
Best in price segme,4,  Afforble with better features
Sound quality poor,4,  The mobile sound quality poor
Awesome in this range,5,"  Really great, value for money"
Very poor,1,  Very worst camera and display
Best to buy,5,  A good product at good price.
Best feature pack in this price,5,  Its battery and build quality
Nice,5,  Value for at this price range
Excellent mobile,5,  Excellent mobile in low budget.Nice cameraGood looking.
"All over Good Phone, Only Camera Quality will be Improved",4,  Camaera Quality is Ok
Its battery,4,  Good battery life and overall performance is also good
Best to buy,5,  Ek num
Good,5,  Worthy
Awesome Product,5,  The product was awesome and value for money.
Midrange phone,5,  Amazing product in this price segment 👍👍👍
Not working properly,1,  Not working properly like charging down fast
This phone  is always hang,1,  Phone is always hang and not running smooth.
Screen was very fantastic,5,  Your browser does not support HTML5 video.
Poor Product,3,  No fingerprint.Very rough battery life
In a small budget this phone is just awesome m..,5,  Battery life and look is the most attractive
Best budget mobile phone.,4,  Nice phone but charging takes too much time.
Battery life is so good,5,  Battery life is good but camera it's average
Horrible phone,1,  Horrible phone. Not event latest is.
Best Chinese brand,5,  I got discount for the Chinese brand
Good,5,  Nice phone good looking  best camera
GREAT CAMERA,4,"  AWSM phone, at a price like this... This is best u can get"
Colour not same,5,  Colour is not same as in the picture
Value for money,5,  Camera quality ok good phone and nice delivery
Nice product,5,  Battery backup is very good. Good for online classes
It's rocking,5,  Really product is very goodAnd I enjoyed a lot
Overall moderate phone.,3,  Good phone but I think Samsung is better than redmi.
nice phone,5,"  Fingerprint is nice,  battery osm ,camera  is better"
Loud speaker not in good quality,3,  Having issue while playing songs using loud speaker.
Camera quality,4,  Everything is good but the camera quality is too bad
I am happy customer,5,  Phone is awesome you can buy it as budget smartphone
Network speed is very low in this device,1,  Very poor network speed on this device (mi resmi A9)
Good service and helping amazon,5,  I like this product and thanks for amazon service...
love mi ph,4,  Good product
India as no 1 company,5,  Good phone
Please return the product or send service center number,1,  Mobile is heating and display problem coming
Good for budget,5,  I like better
Battery life is ok not upto mark,3,  Ok ok product
Nice Product,5,  Nice and cool phone in this price range
Super mobile phone,5,  Super mobile phone mi lovely
Best Phone under 7k,5,  Superb at this Price segment
Overall the phone is value for money,5,  Good screen and battery life
Nice phone,5,  Excellent delivery by Amazon
Battery life is good,4,  According to price it's good
Best phone for daily use.,4,  Nice device at cheaper price
Phone,1,"  Is made in chaina, I not satisfied with the product."
Budget phone quality.front camera not working.,3,  Front camera not connecting.its not working.
Nice 👍,5,  Best value for money
Good,4,  Good.But Less Volume
Hang problem,5,  Camara result issues
Good,2,  Good value for money
Slow function,5,  Slow function mobile
Budget phone,3,  It's worth for money
.,5,  Super battery backup
Phone,5,  Best phone in budget
Redmi is worst in terms of battery and charger,1,  As usual worst redmi
Amazon prime,5,  Nice mobile phone 📱
Good,5,  Overall Good Product
"""Better product""",5,  Good product😀I like this😁
Best,5,  Best
Woweee,5,  Wowee
super,5,  super
Good products for less budget,4,"  No fingerprint, battery life is very good"
Good but heat,3,  Price range is good. Getting heat
It Has no heating problem,4,  It is good. I like this product preety much
Very bad fone redmi.,1,  Redmi is bad fone india. System is very bad
Very good mobile in low price,5,  For my mother in law it's very nice mobile.
Budget Smartphone,3,  JUST FINE NOT GOOD NOT BAD. SLOW PROCESSING
Made in China product,1,"  Slow charging,  camera quality is not good,"
Value For Money,5,  Sounds Quality... 👌Battery Life...👌
Will not recomend ....but I had to use.,3,  Does not covers the whole screen.. smaller in size.
Nice product,4,"  Good display , nice battery, good picture quality ."
I am not satishfaied,1,  This is a product made in china I am not sutisfaied
Super phone this prize.,4,  Performance is good this prize.  Battery life good.
Camera quality not good,5,  Phone is good but camera quality totally ver bad ..
Superb phone at low budget,5,  Product was amazing and good phone at low budget...
Camera Worst,3,  Camera is very bad.Except camera everything is fine
A crazy phone 😍,5,  Best phone for this price segment
Good,5,  Good product
Wirs,1,  Poor quality
Decent mobile,4,  Decent phone
Ok,3,  Nice not bad
Good product,5,  Good product
Good,5,  Good product
Good,5,  Good not bad
Value for money,5,  Nice product
Best,5,  Good Quality
Good product,4,  Good product
Best quality,5,  Good product
amazing product,4,  i am loving it
No charger in box,1,  Fake product
Nice product,5,  Nice product
Best,5,  Best  product for low money
👍🏻👍🏻👍🏻👍🏻👍🏻,4,  Its best According to Price
Budget Phone by redmi...,4,  Good for day to day uses....Not for online gaming..
Good phone in this price,4,  Best Phone in low price
Wonderful,5,  Wonderful product
Nice mobile,5,  Good camera clarity
Battery life overall good in this price range,4,  Good value of money
Very nice  phones,5,  Phones is very good
Made In China and endorsed as Indian phone,5,  Made in China phone
Very good,5,  Phone is good for less money and features are also good.
The delivery,5,  Everything is fine. Thank you Amazon
AWESOME..,5,  AWESOME..
Not battery  life and not better phone,1,  Dislikes this phone
A good product and reasonable price for everyone,5,  Best product and price for middle class families
Cul,5,  Call
Nice,5,  Nice
Good battery,4,  Nice
Good,5,  Good
Good,4,  Good
Good,3,  good
Good,4,  Good
good,4,  good
Nice phone,4,  Good
Good,5,  Good
V good,5,  Good
Good,4,  Good
Baad,2,  Baad
Good,5,  Good
Battery,4,  Good
Good,5,  Good
Good,5,  Good
Good,5,  Nice
Good,5,  Good
Nice piece,4,  Nice
Good,5,  Good
Good,5,  Good
Nice phone at this price,5,  Good
Nice phone,5,  Nice
Good,4,  Good
Superb,5,  Battery & camera good this midrange phone.
Quality,5,  Very good android phone in average amount.
very very good,5,  good
Super slim,5,  Best smartphone in low price rate.
Go for it,5,  Best price with excellent features
Cool,5,"  Nyc phone ,budget friendly,and awesome performance"
Thank you amazon,5,"  Thank you , AmazonBHUPESH SHARMA TABLA WADAK"
Colour difference,3,  Received with DARK Blue color.Made in china.
Made in China,1,"  Made in China, No clear information on Amazon site"
Good product and  improve camara quality,5,  Good productWorthable priceAlmost Good
Information about products,3,  Battery performance is good camera quality is good
Good product,5,  Good product
Low budget best phone,5,  Very good..
Nice product...!! Thank u amazon,4,  Nice mobile
Good product worth this money,5,  Performance
NICE VIEW,4,  GOOD PHONE IN SMALL BUDGET
Bad product,2,  Never purchase this phone.
Nice 👍,5,  Good product and low price
Very good mobile in bugged,4,  Very good mobile in bugged
Within this price tou will get better thn ths,3,"  My expectation was higher,"
Buy it,5,  Nice phone with nice price
Best service,4,  Good
Good for normal use,3,  Only for Simple use
Fabulous,5,  Fabulous but camera is not as expected 🌏🙈👉👈❤️💔
Yes,2,  No value for money
Good,5,  The Product Is Good Amazon provides Fatser delivery
Value for money,4,  Budget phone very good performance
Ronak Modi,5,  Just amazing product.
Best product,5,  Good product
For the price,4,  Overall good
Bad,2,  Bad
Battery life long,5,  Osm
Good,4,  Good quality product for the paid amount.
Best at this cost...,4,"  Value for money,I gifted this for my dad."
Nice phone,4,  Phone is very good under the price range.
Worst Redmi Product( Readmi 9A ),2,"  Camera Quality Worst, Performance worst.."
value for money,5,  in this price phone is good configuration
Redmi 9a,5,  Nice design and average performance worth at this price
Very bad experience,1,  Battery life is very poorCamera is also por
Check and buy,3,  There is no back cover with and no bill copy.....
H,5,"  Your browser does not support HTML5 video.


   Good"
Super,3,  Amazon super fast delivery nice discount 👍👍👍👍
बजट फोन,5,  कम बजट में सबसे अच्छा मोबाइल बैटरी लाइफ बढ़िया है
Good,5,"  Your browser does not support HTML5 video.


   Good"
Good,5,  Well it's good in this price point. Overall good.
battery backup,5,  it is worth  performance n battery backup is good
nothing,4,  camera quality not so gd ..but btry backup is grt
Charger issues,3,  Charging time heat observing in charger more heat
Nice phone,4,  You can buy this . valuable price
Very Good product,5,  Worth buying... Very good product
Not good,1,  Phone performance not good enough
Nice,3,  No fingers
Just ok,5,  Ok product
Nice product..,1,  Good one..
No sound clearity,1,  No proper sound clearity.
Over all its good,5,  It's good phone I love it
Good product .first time using redmi mobile .mobile is excellent,4,  Excellent value for money
Amazing features with miui 12,4,  Better and graceful lookAmazing battery life
"SUSANTA""S review 🥳🥳🥳🥳🥳🥳🥳",5,  This product is great with affordable price 😍.
Nice budget phone,4,  Nice budget phone
Worth fr your money......tnx 2 amazone,5,  Everything superb
Best battery life phone,5,  Best camera phone
Very good product,5,  Very good product
Good,5,  Good Battery Life
Am Not satisfied,1,"  Quality not good ,camera zoom photo quality not batter"
Smsrt,5,  Super. My phone
Nice,5,  Very nice products
Ok,5,  Ok
Ok,4,  Ok
Good,4,  Ok
Ok,5,  Ok
Happy with the product,4,  Quality of the product this item is good
Not worthy,1,  Hanging problem and touh problem is high
Camera,3,  Phone is good... but camera is too bad👎
Good battery,5,  Battery is so good and good  working day
Nice,4,  Good product at low budget go for it👍👍
Good.price,3,  Very good👍Something heavy weight.
Colour is not actual,3,"  Colour is not actual that is displayed,very low quality colour"
Suer,5,  Nice super battery life fine camera quality fine
Sound quality is very bad very disappointed,2,  Sound n ringtone of the Mobile is very low n bad
Overall performance average,4,  Performance is good but it charging time so long
Quality,4,  Its very good product and delivery is also good.
मोबाइल हैंग हो रहा है और थोड़ी देर में ही गर्म हो जाता है,3,  मोबाइल हैंग हो रहा है और गरम भी ज्यादा हो रहा है
Thanks Amazon,5,  Good product. Amazing delivery of Amazon. Thanks
Finger reader not available,1,  Finger print readers not available in this phone
Good,5,  Less money multiple functions...
Good,5,  Very good but camera is not good
Value of money,4,  It's price customer satisfaction
great product,5,  great product with cheaper price
Good,4,  Good to use and low budget phone
Very nyc,3,  Nyc
Great delivery service. Delivery boy is very good and gentle,5,  Excellent
Not good,1,  Not happy
Best performance,5,  Like this
Good,5,  Very good
Good product in this price range.,5,  Lovely 💐
Very good,5,  Very good
Thank you,5,  Thank you
Good product,5,  It's good
Value for  money,4,  Okay good
Very good,5,  Very good
Very nice product,4,  Very nice
CHANNAPPA,5,  CHANNAPPA
Value for money,5,  Best phone for The price
Good Mobile in lower range,4,  Good  value for purchase
Good Mobile,5,  Goog Mobile in low price
Good device,5,  Better choice if you looking for 2/32 facilities at lower price
Okay,2,  Quality of video
Avarage.,4,  Overall avarage.
Best,4,  Good price point
I don't explain,3,  I don't  explain
Value for money.,4,  Nice Smartphone.
Worth for money,4,  Good
Good,4,  All is ok.add 2 speaker would better.
Torch light is not working,3,  Torch light is not working after 7 days
Battery swelling,1,  Battery swelling within 3 months of use
Good,4,  Absolutely Wright at this Price# lovely
Good performance,5,  Very good performance in such low cost.
Good,5,  Good
This product very badly working. Plz replacement this,1,  Camera quality is good but very slowly working.
Battery life is not good,3,  Battery life is not good. Cam quality is better
It is good app,4,  Nice product thankyou AmazonFast delivery
Receive made in China mobile,1,  Battery life is goodNo fingerprint Reader
That's my problem,1,  Wifi connection problemDon't connect wifi
Good,5,  Good product .Value for money.Recommended. 😊😊
Good,5,  Fabulous performance Redmi 9A ...I love it ..😍
Good at this price,5,  Budgeted phone. Food quality according to price
Best phone and seller,5,  Best products and seller also i love amazon❤️❤️
Not received warranty card as mentioned at box,1,  Not received warranty card as mentioned at box.
Worth its prize.,4,  An overall good product according to its prize.
Worth the buying item in budget,5,  Best phone with all features in a budget range.
Nice.,4,  Awesome phone ever😍😍
Okkk,4,  Something ok or something wrong
Best in this price,5,  Overall very good in this price
Display problem,3,  A white spot at display bottom.
Good product but it is heavy to carry,4,  Good product value for money 💰
Redmi,5,  Good one
Good,4,"  Large display screen, value for money.."
Good enough!,4,  Nice phone in low price
Nice,4,  Good phone good battery
A budget phone,2,  It is a average product
Good for its style,4,  Nice one for that price
Superb,5,  Soo good
Good,4,  This looks very nice and camera price tipe very good
Value for money,4,  Value for money
Good,4,  value for money
Nice,3,  Value for money
Very nice location,5,  Best smartphone
Budget phone,3,  Commanding is slow...but overall ok..if compare to others..
Slow!!!!,1,  Its pretty slow
Pessa barbaad,5,  Bekar dam bekar
Best smartphone Redmi 9a,5,  Bettary is good
Value,4,  Worth for money
Phoninte upayogicha prathifalam,3,  Kozhapola just use cheyyan ekka pattum
Good,4,  Bluetooth is very hanging and all good
Low price & 1 day battery,5,  Big battery 5000camera very good
Don't buy,1,  Not good product... Totally worst...
Battery life,1,  Waste of money the phone battery life is worst
Phone is awesome at this price,5,  Awesome phone at this price. Fully satisfied😊
Late delivery,4,  Product is goodBut delivered 3days later
Worst product,1,  Amazon service is very worst..  Waste of money
Worest phone,1,"  Worest phone,don't buy waste of money and time"
Good,5,  Good delivery and good phone which I have got.
Display not working and always phone power off,1,  Display not working and always phone power off
Good,1,  This mobail  is difectiveBattery promble
Cheap and Best,4,  I have not received back cover with this phone
Bestphone for simple user,5,  Best smartphone under 6500.Overall good.
Value for money,5,  No other product is better in this price range
Nice 👍,5,"  Good service, beautiful mobile"
Okk,4,  Ok but little hanging problems
Value for money.,4,  Product is good in this price.
Good,4,  Worth product in this price ..
Nice to use,5,  Nice mobile... Smooth screen..
Ossom,5,  Wonderful
Love you amezon,5,  Very nice products and amezon is very best aap
Same range other brand good,4,  Not buy
Value for money,4,  Average
v good,5,  g goood
Very fast delivery,5,  Awesome
Phone,5,  Not bad
Good product this price,4,  Not bad
Awesome,5,  Awesome
Very nice budget phone,4,  Very nice budget phone
Ok,3,  All over good at price
The Phone mike is not working properly,1,  The product is very bad and Main mike is not working
Now,4,  Box is damaj mobile working fin
Overall good product.,4,  Battery life is good but camera not so good.
Accessoriesless.handset less,5,  Product with accessories handsetless
Nice,5,  Value of money
Value for money.,4,  Heavy weight
Good,5,"  Battery life good,, camera quality ok"
Nice product,5,  Very good product and value for money
Working body,4,"  Fulfillment of requirements, not more"
Small amount Nice phone,4,  Big screen but camera quality is poor
Nice phone,5,"  Nice phone ,quite handy and nice look"
Smater phone,5,  Very good product thanks amazone.....
Value for money,4,  I gifted to my aunty and she loves it
Good price good offers,4,  I am lazy not adding picture but good product
no to help,2,  this mobile products his problems in software
Yes,3,  We did not receive headphones with the mobile
Superb budget mobile,5,  Nice 👍 battery life and not bad camera qulty
It's good,4,  Overall it's a good phone at economic price..
After purchasing 10 days phones automatically restarting continuously,1,  After purchasing 10 days phones automatically
Best  quality with best price,5,  Good mobile with good quality with best price
Best phone ever,5,  No anyone in comparison of this price segment
Issue very big issue,1,  It hangsWorks slowAb kya hee bole
Ok I am satisfied,1,  Good product but price is low if better phone
Everything is fine except the camera quality.,3,  Everything is fine except the camera quality.
Worst phone from mi,1,  Hangs too much
Good as considered price,3,  Good product for normal usage
Good,5,  Overall good for normal users
Nice product.,5,  Great features. Good quality.
Camera not good as Brand,1,"  Camera not good,heavy weight."
not bad,2,  front camera is bad quality..
Best product battery life superb,5,  Nice awesomeness fully energy
Good phone,5,  Nice phone ... value of phone
Slowest process,1,  Worst process phone.never buy
Look style,4,  Better performance of battery
Hang up issue,3,  Mobile is hanging upScreen stop sensing
Great choice.,5,  Superb
Nice mobile nice camera nice screen anni super unnai,5,  Nice mobile under 10k
Not satisfied,2,  Camera is very bad 👎
Totally worst phone,1,  Phone is not power on
Cheap product,2,  I found it is lagging
AWESOME with low cost,5,  Awesome with low cost
Product is very good,5,  Product is very good.
Okay,4,  It's okay I would say
Asid,3,  Good phone but not good for camera and ram
Super,5,  Super
I don't like this model Redmi 9A,1,  This product is not at all adequate for me. Either replace or return.
Value for money,5,  Awesome phone
Thanks and Super,5,  Budget mobile
Made in China product,4,  Made in China
Hi,5,  Best products
simple and good,4,  its ok to all
Average phone,1,  Average phone
Very good,5,  Good product.
It is useful for those who use less time,5,  Good Product.
Super,4,  Its good item
Nice product,5,  Good purchase
Redmi 9a,4,  Nice product
Nice,3,  At this price point it is good phone
Nice Mobile,5,  Very good mobile in this price range
good,5,  fine
Packaging me na kamiyabi,4,  Value for money but packing is uncomfortable
Mobile receipt is not found with mobile,5,  I sasisfie with Mobile but receipt not found
West product,1,  It's  not good product it's in made by China
Nice for normal user...,4,  Decent Smartphone for regular mobile user...
Is is economically good..,4,  There is no fingerprint facility in this set
Look is awesome,4,  In the rate of view-The phone is almost good
Ptoduct quality is superb,5,  Over all good but camera quality is not good
Hang problem,1,"  Very hang problem, so i dont like this phone"
Good buy for grandparents,5,  I like the product good buy for grandparents
Bad quality,1,  Please call me. I want to replace this phone
Nice one,4,  I bought it for my mom.. worth the price....
Nice,5,  Nice product worth for money
phone is slow,4,  operating phone is very slow
Exactly same.. Worth the money,5,  Got better than wht accepted
Very good product,4,  Good product Value for money
Good,5,  Best phone  good bettey life
Super,5,  Best phone under budget 👌👌
Supr,5,  Super
Waste,1,  Waste
Waste,1,  Waste
Budget make the device perfect,5,  Budget of the Device
Nice,4,  Nice& include budget
Camera qauality,5,  Very well smartphone
Screen,5,  Long battery service
Worst courier facility,5,  Product is good but Amazon courier facility is not good.
Good,3,  Good
Nice,5,  Nice 👍
Good battery life  believe for online studies,4,  Finger print reader os not here in this phone
good phone on this price,4,  light weight
Don't purchase,1,  Bad products
good services,4,  good product
Value of money,5,  Nice product
Superb,5,  Good product
Good,4,  Good product
Nice experience,5,  Good product
Awesome,5,  Good mobiles
good,4,  battery life
Great product,4,  Good product
Good,5,  Good quality
Budget phone,4,  Budget phone
Value for money,5,  Nice product
Amazing phone,5,  Totally value of money
I recommend that you should try this product.very good product in price,5,  What a good battery life.also good camera quality
"If you want to buy it for navigation, don't buy.",1,  Google map is not working properly.
Best phone under 9k,5,  Best quality product sold by seller
Awesome Phone,5,  Nice Smartphone in Affordable Price
nice product,5,"  very good product,good battery life"
Camera quality is worst....dont buy,1,  Camera quality is worst....dont buy
Useful,5,  It is nice product under our budget
Mi one of the brand,5,  Very good product 👌👌👌👌👌👌 awesome 👍👍
Budget SmartPhone,5,  nice phone for low budget users. go for it.
Unbysed,4,  It is a good productUnder this bodget
About garnty,5,"  If finger is tger den good, about btry good"
Not buy this phone,3,"  Camera is not good ,battery backup is 1 day"
Overall product is good,5,  Clearity of back camera is not so much good
worth buying,4,  camera quality camera..otherwise good to go
Not good device,1,  It not good it getting hang ofter few day..
Super,4,  Worth for the money
Nice product,5,  Nice product in this price.
working slow,5,  Please don't buy this phone
The battery life is good,5,  The product is very  awsome
Best phone,5,  Best price to best products
Nyc phone,4,  Camera quality is very poor
Display,4,  Nice mobile in this segment
display,5,  good phone with large display
Battery life,4,  Good
GOOD PHONE,5,  Good
nice,4,  nice
Damaged,1,  Bent
Good,5,  Good
good,5,  good
Good  Battery,3,  Like
Good,5,  Good
Good,5,  Good
Good,5,  Good
Good,5,  Good
Good,4,  Good
Nice,5,  Good
Best,5,  Good
Nice,5,  Good
Nice,5,  Nice
Good,5,  Good
Very good,5,  Good
Good,4,  Good
Nice,5,  Nice
Good,5,  Good
All is good,5,  Good
Nice,5,  Nice
good product,5,  nice
value for money,5,  Good
Terrific,5,  Good
Worth for money,5,  Nice
E,5,  Nice
Good price good looking,5,  Nice
Good,5,  Nice
Mobile,5,  Good
Good,5,  Good
best,5,  best
best phone,5,  best phone in india
Quality is not good,3,  Quality is not good
Its good phone comes up with decent features to usr for daily needs...,4,  Batter life is good
Nice one,5,  Good at cheap price
Voice,5,  Very niceBut voice is somewhat less
Superb quality mobile phone,5,  Cheap and best quality mobile
Vriddhi,5,  Good quality
good,3,"  Good phone, value for money,"
Mast,5,"  Your browser does not support HTML5 video.


   Mast"
Ok,5,  Nic product
Superb mobile for little range of money,5,  Good mobile
Sound quality darun,5,  Osm product
Kabhi mat kharidana,1,  Bad product
Value money 🤑,5,  Worth every
Good,4,  Good
Magnatic sensor option availability,2,  There is no magnatic sensor option in the mobile
Good one,4,  Good choice for mobile around 6.5K
good for studey,5,  mobile is good in this price point
Quality,5,  Best phone i purchase 3 same phone
The look of phone is very stunning.,5,  Phone's battery life is very good.
Battery,5,  Battery performance is remarkable.
Awesome Phone,5,  Got Awesome phone in minimum rates
Disappointed,2,  Phone quality and camera is to low
Awesome 👍 build quality camera quality is avreg,5,  Super phoneWith chiper price
There is no finger password access,5,  There is no finger password access
No finger print sensor is the biggest drawback of this phone,5,  At this price it is a nice product
Very good phone,4,  Good charging system and long life battery
Go for it,5,"  at this budget ,it May be the best option."
Value of money 👍👍,3,  Battery life 50-50Value of money yes
Damage,1,  Product some function are not working well
Superb in under budget,4,  Smooth working and powerful bettery backup
Nice..... value of money,4,  If they give type c charging port is  good
Display issue,1,  Display didn't work at all. So i returned.
Best buy....,4,  Best buy at this price range.. satisfied..
Awesome,5,  Awesome mobile having long battery life...
.,5,  I like battery performance I was very nice
overall not worthy buying this,1,  not so good.. please avoid this product...
Very good phone.,4,"  Very good phone, with good battery backup."
Redmi 9a 2Gb 32 Gb ram and rom respectively,5,  Excellent product by Amazon I am loven it.
Its amazing phone,4,  Nice phoneBattery backup is too good
Good,5,"  Wonderfull ptoduct,under the range of 7000"
King master,4,  Low price OK good a mobile
Value off money,4,  Best phone value off money
Good one,4,  Worth for this price range
awesome Phone with specs,4,  best budget phone of INDIA
Great phone,5,  Great phone.. worth to buy
Awesome smart phone at reasonable price,5,  Value for money. Loved it.
Good,5,  Awesome 👍 worth for price
Good product at this price,5,  Good product at this price
Worth for money.,5,  Nice phone for this price.
Very niccccce,5,  Very nice low range mobile
Good product but thode time ke baad hang hota he,3,  Value ke hisab se accha he
Nice,4,  Best for the price segment
Vera level,5,  Super phone budget segment
Quality,1,  Audio speaker are not good
Camera picture quality not good,1,  Processing little bit slow
No handset in this box plz give me handset,1,  No handset in this box plz give me handset
No,4,  Yes
Osm,5,  Osm
Decent phone under the budget,4,  Good product
Radmi 9a phone quality,4,  Radmi 9 A bast quality good products
Good product,5,  Everything is good
Very bed,1,  Very worst quality
Very good mobile,5,  very good mobile..
Nicr,4,"  Nice, budget phone"
Not bad,3,  Over price by 1000
very fast delivery,5,  Fast Delivery nice
Good product at valuable price.,5,  Same as is on MI.com price and quality .
Eassy to buy and when i dont like product then.easily to return,1,  Don't buy this product.it is not returneble
Redmi 9a,5,"  No, this phone good at this rate"
Value for money,5,  Nice phone
Bad,1,  Bad choice
Good phone,5,  Good phone
Nice phone in this range,5,  Good phone
Good,3,  The product is overall is good for basic use.
Redmi 9a,4,  In this price this is one of the best phone....
Back Cover Not Provide,3,  Back cover not provide.
*****,5,  Good feature and good condition
👌Best budget phone..,5,  Very good battery life I like it.
Best phone,4,  Nice phone with good battery life
User experience and software,2,  UI is worst of all other mobiles.
मोबाइल बहुत बढ़िया हैं।,4,  बेट्री की लाइफ बहुत ही शानदार है।
This phone is good in low price.,5,  It's camera is in good condition.
Good,3,  There is no fingerprint detection
Mobile quality,2,"  Camera quality so bad, but mobile just ok"
All in all good,5,  Camera is good battery life not upto mark
Phone's battery,5,  This phone's battery is long lasting 👍👍
Nyc product &time to delivery thanks to amazon,3,  Battery backup & Camera quality is better
Good product,3,  Good product. Battery life is really good
